model_name,perplexity_mean,perplexity_std,token_response_length_mean,token_response_length_std,repetition_rate_mean,repetition_rate_std,distinct_2_mean,distinct_2_std,readability_mean,readability_std,time_to_first_token_ms_mean,time_to_first_token_ms_std,avg_time_per_token_ms_mean,avg_time_per_token_ms_std,tokens_generated_per_response_mean,tokens_generated_per_response_std,total_model_size_gb_mean,total_model_size_gb_std
Llama-1B-PTQ,9.023515595330132,0.23364968408576778,730.1111111111111,23.66666666666666,0.10873249994985462,0.004191022246136573,0.9202032220707242,0.0045722693913203705,74.83888888888889,0.4867094730032592,127.33546892801921,2.3211530662357567,4.338016216801421,0.973875955974042,966.7777777777778,29.8067852081442,0.4893836975097656,0.0
Llama-1B-KD-PTQ,9.34132861739802,0.28263406265068136,739.4444444444445,13.92938540560128,0.10893956663300425,0.0034149019002735295,0.9205662673799415,0.004786873561392827,74.56666666666666,0.28486839066488456,126.78662935892741,2.0488134196825,4.628606391384501,0.07020197612461579,974.2222222222222,16.391901794619333,0.4893836975097656,0.0
Llama-3B-PTQ,6.450554423862034,0.13220536369896102,730.1111111111111,31.398425296678678,0.11117824670932751,0.004503291456553476,0.9188767491580614,0.004705526574538402,74.58,0.29012928152807965,356.3414149814182,6.337510732629188,7.198847945231957,2.5470334910538885,963.3333333333334,39.51898278043097,0.7342128753662109,0.0
Llama-1B-KD,8.112401693329199,0.1351694031892331,732.4444444444445,15.092308563562357,0.10954911390219735,0.004927616378462421,0.9195223588586452,0.005099542788537276,74.6711111111111,0.4961462597975618,232.73754119873047,5.157542837411499,3.0206783659023895,1.0160970804688534,963.4444444444445,17.328524974093387,4.603767395019531,0.0
Llama-1B,7.923873424530029,0.19241907042008977,739.6666666666666,14.274102423620185,0.10833590776409624,0.004822151911562467,0.9199677457390611,0.004018473335924237,74.60444444444445,0.2802726846800757,232.39345020718045,9.093451486513146,3.3611775977312544,0.09039466910134612,974.3333333333334,16.294170736800332,4.603767395019531,0.0
Llama-3B,6.3142990006340876,0.14637603508751837,740.6666666666666,10.920164833920767,0.10997659396556189,0.004120208038392937,0.920509730908478,0.0034513099696823805,74.37777777777778,0.14779866184930132,664.5111242930094,12.304112464376313,6.892314176663344,0.0919158133627539,974.4444444444445,16.264309938567262,11.968425750732422,0.0
